Plot.id,Hexagon,Plot,Species,Live_status,DBH,Crown_class,Distance,Age.ca,Height,modelled.height2,Cruise_tree_class
H1P2,1,2,Sb: black spruce,Standing (Live),28.1,4 (75-100% healthy),6.39,NA,21.9,23.11924837,1: Older Immature
H1P2,1,2,Sb: black spruce,Standing (Live),31.7,3 (50-75% healthy),11.05,NA,25.8,24.20237533,1: Older Immature
H1P2,1,2,Sx: spruce hybrid,Standing (Live),36.9,4 (75-100% healthy),9.21,NA,29.8,25.82532757,1: Older Immature
H3P2,3,2,Bl: subalpine fir,Standing (Live),28.7,4 (75-100% healthy),10.2,NA,20.5,23.29747093,5: Mature
H3P2,3,2,Bl: subalpine fir,Standing (Live),30.7,4 (75-100% healthy),9.3,NA,28,23.89818653,8: Younger immature
H3P2,3,2,Sx: spruce hybrid,Standing (Live),53.4,4 (75-100% healthy),13.3,NA,22.9,31.43230972,8: Younger immature
H3P2,3,2,Sx: spruce hybrid,Standing (Live),48.5,4 (75-100% healthy),5.31,NA,26.9,29.69462125,8: Younger immature
H1P1,1,1,Ac: poplar,Standing (Live),55.1,4 (75-100% healthy),5.69,NA,34.7,32.04950917,5: Mature
H1P1,1,1,Ac: poplar,Standing (Live),61.5,4 (75-100% healthy),14.63,NA,31.1,34.43928325,5: Mature
H1P1,1,1,Sx: spruce hybrid,Standing (Live),61.5,4 (75-100% healthy),24.606,NA,41,34.43928325,2: Older immature - Suspect
H1P1,1,1,Sx: spruce hybrid,Standing (Live),33.3,3 (50-75% healthy),9.17,NA,30.3,24.69438973,5: Mature
H1P2,1,2,Sx: spruce hybrid,Standing (Live),38.1,4 (75-100% healthy),14.49,NA,23.8,26.20966237,2: Older immature - Suspect
H15P2,15,2,Bl: subalpine fir,Standing (Live),20,4 (75-100% healthy),10.41,102,20.6,20.803234,1: Older Immature
H15P2,15,2,Sx: spruce hybrid,Standing (Live),29.2,4 (75-100% healthy),10.92,62,23.9,23.44669208,8: Younger immature
H15P2,15,2,Fd: douglas-fir,Standing (Live),22.2,4 (75-100% healthy),NA,NA,NA,21.41569948,8: Younger immature
H15P2,15,2,Bl: subalpine fir,Snag (Dead) (45-90%) ,22.2,1 (0-25% healthy),NA,NA,NA,21.41569948,3: Older Immature. Dead Potential
H15P2,15,2,Bl: subalpine fir,Standing (Live),19.1,4 (75-100% healthy),NA,NA,NA,20.55624277,2: Older immature - Suspect
H15P2,15,2,Sx: spruce hybrid,Standing (Live),13.6,4 (75-100% healthy),NA,NA,NA,19.09180232,8: Younger immature
H15P2,15,2,Bl: subalpine fir,Standing (Live),19.9,4 (75-100% healthy),NA,NA,NA,20.77568837,8: Younger immature
H15P2,15,2,Bl: subalpine fir,Standing (Live),17.3,4 (75-100% healthy),NA,NA,NA,20.06846653,1: Older Immature
H15P2,15,2,Bl: subalpine fir,Snag (Dead) (45-90%) ,11.2,1 (0-25% healthy),NA,NA,NA,18.47698568,9: Younger immature - Dead potential
H15P2,15,2,Sx: spruce hybrid,Standing (Live),32.7,4 (75-100% healthy),7.16,55,21.9,24.50911813,8: Younger immature
H15P2,15,2,Bl: subalpine fir,Standing (Live),22.3,4 (75-100% healthy),6.42,59,21.3,21.44383253,8: Younger immature
H15P2,15,2,Ep: paper birch,Standing (Live),16,4 (75-100% healthy),NA,NA,NA,19.72133,1: Older Immature
H15P2,15,2,Bl: subalpine fir,Standing (Live),10.7,4 (75-100% healthy),NA,NA,NA,18.35075053,8: Younger immature
H15P2,15,2,Bl: subalpine fir,Standing (Live),14.8,4 (75-100% healthy),NA,NA,NA,19.40472728,8: Younger immature
H15P2,15,2,Sx: spruce hybrid,Standing (Live),15.2,4 (75-100% healthy),NA,NA,NA,19.50985288,8: Younger immature
H15P2,15,2,Sx: spruce hybrid,Standing (Live),58.3,4 (75-100% healthy),NA,NA,NA,33.23131973,5: Mature
H15P2,15,2,Ep: paper birch,Standing (Live),11.1,4 (75-100% healthy),NA,NA,NA,18.45168757,2: Older immature - Suspect
H15P2,15,2,Bl: subalpine fir,Snag (Dead) (45-90%) ,17.5,1 (0-25% healthy),NA,NA,NA,20.12225525,9: Younger immature - Dead potential
H15P2,15,2,Bl: subalpine fir,Standing (Live),20.9,4 (75-100% healthy),NA,NA,NA,21.05229397,8: Younger immature
H15P2,15,2,Sx: spruce hybrid,Standing (Live),14.2,3 (50-75% healthy),NA,NA,NA,19.24780508,8: Younger immature
H15P2,15,2,Sx: spruce hybrid,Standing (Live),8.5,2 (25-50% healthy),NA,NA,NA,17.80290125,8: Younger immature
H15P2,15,2,Sx: spruce hybrid,Standing (Live),18.2,4 (75-100% healthy),NA,NA,NA,20.31132028,8: Younger immature
H15P2,15,2,Fd: douglas-fir,Down (Dead) (0-45%),21.9,1 (0-25% healthy),NA,NA,NA,21.33145357,9: Younger immature - Dead potential
H15P2,15,2,Other,Down (Dead) (0-45%),40.2,1 (0-25% healthy),NA,NA,NA,26.89109788,4: Dead useless
H15P2,15,2,Fd: douglas-fir,Down (Dead) (0-45%),63,1 (0-25% healthy),NA,NA,NA,35.014519,4: Dead useless
H15P2,15,2,Other,Down (Dead) (0-45%),30.2,1 (0-25% healthy),NA,NA,NA,23.74704988,4: Dead useless
H15P2,15,2,Fd: douglas-fir,Down (Dead) (0-45%),60,1 (0-25% healthy),NA,NA,NA,33.869794,4: Dead useless
H15P2,15,2,Fd: douglas-fir,Down (Dead) (0-45%),57.5,1 (0-25% healthy),NA,NA,NA,32.93341525,4: Dead useless
H15P2,15,2,Fd: douglas-fir,Down (Dead) (0-45%),67,1 (0-25% healthy),NA,NA,NA,36.576575,4: Dead useless
H15P1,15,1,Other,Down (Dead) (0-45%),68,1 (0-25% healthy),NA,NA,NA,36.973474,4: Dead useless
H15P1,15,1,Sx: spruce hybrid,Down (Dead) (0-45%),58,1 (0-25% healthy),NA,NA,NA,33.119414,4: Dead useless
H15P1,15,1,Other,Down (Dead) (0-45%),34.2,1 (0-25% healthy),NA,NA,NA,24.97402108,4: Dead useless
H15P1,15,1,Bl: subalpine fir,Down (Dead) (0-45%),28.3,1 (0-25% healthy),NA,NA,NA,23.17855373,4: Dead useless
H15P1,15,1,Sx: spruce hybrid,Down (Dead) (0-45%),34.2,1 (0-25% healthy),NA,NA,NA,24.97402108,4: Dead useless
H15P1,15,1,Bl: subalpine fir,Down (Dead) (0-45%),35.8,1 (0-25% healthy),NA,NA,NA,25.47625148,4: Dead useless
H15P1,15,1,Other,Down (Dead) (0-45%),49.9,1 (0-25% healthy),NA,NA,NA,30.18484637,4: Dead useless
H15P1,15,1,Fd: douglas-fir,Standing (Live),35.4,4 (75-100% healthy),NA,NA,NA,25.35008092,8: Younger immature
H15P1,15,1,Bl: subalpine fir,Standing (Live),8.5,4 (75-100% healthy),NA,NA,NA,17.80290125,8: Younger immature
H15P1,15,1,Bl: subalpine fir,Standing (Live),31.9,4 (75-100% healthy),NA,NA,NA,24.26351957,8: Younger immature
H15P1,15,1,Bl: subalpine fir,Standing (Live),27.1,4 (75-100% healthy),NA,NA,NA,22.82425397,8: Younger immature
H15P1,15,1,Sx: spruce hybrid,Standing (Live),36.7,4 (75-100% healthy),17.16,64,25.5,25.76162933,8: Younger immature
H15P1,15,1,Bl: subalpine fir,Standing (Live),27.5,4 (75-100% healthy),8.93,59,24.2,22.94194525,8: Younger immature
H15P1,15,1,Bl: subalpine fir,Standing (Live),26.7,4 (75-100% healthy),12.8,52,22.2,22.70697133,8: Younger immature
H15P1,15,1,Sx: spruce hybrid,Standing (Live),29.5,4 (75-100% healthy),3.99,53,23,23.53653125,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Snag (Dead) (45-90%) ,9.4,1 (0-25% healthy),NA,NA,NA,18.02552732,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Standing (Live),8.1,2 (25-50% healthy),NA,NA,NA,17.70462037,8: Younger immature
H11P3,11,3,Sx: spruce hybrid,Standing (Live),16.9,4 (75-100% healthy),NA,NA,NA,19.96119557,8: Younger immature
H11P3,11,3,Sx: spruce hybrid,Standing (Live),27.5,4 (75-100% healthy),NA,NA,NA,22.94194525,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Standing (Live),31.5,4 (75-100% healthy),18.83,73,21.9,24.14133325,8: Younger immature
H11P3,11,3,Sx: spruce hybrid,Standing (Live),38.2,4 (75-100% healthy),9.91,62,26.4,26.24185628,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Standing (Live),25,4 (75-100% healthy),8.39,70,22.4,22.213079,8: Younger immature
H11P3,11,3,Sx: spruce hybrid,Standing (Live),35.5,4 (75-100% healthy),8.29,59,26.9,25.38158525,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Standing (Live),12.5,3 (50-75% healthy),NA,NA,NA,18.80818525,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Standing (Live),30.1,4 (75-100% healthy),NA,NA,NA,23.71689917,1: Older Immature
H11P3,11,3,Bl: subalpine fir,Standing (Live),17.7,4 (75-100% healthy),NA,NA,NA,20.17614613,8: Younger immature
H11P3,11,3,Sx: spruce hybrid,Standing (Live),40.6,4 (75-100% healthy),NA,NA,NA,27.02217212,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Standing (Live),12.4,3 (50-75% healthy),NA,NA,NA,18.78255512,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Standing (Live),7.9,2 (25-50% healthy),NA,NA,NA,17.65563317,8: Younger immature
H11P3,11,3,Sx: spruce hybrid,Standing (Live),31.8,4 (75-100% healthy),NA,NA,NA,24.23293468,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Standing (Live),8,4 (75-100% healthy),NA,NA,NA,17.680114,8: Younger immature
H11P3,11,3,Sx: spruce hybrid,Standing (Live),8.6,2 (25-50% healthy),NA,NA,NA,17.82753532,8: Younger immature
H11P3,11,3,Sx: spruce hybrid,Standing (Live),25.1,4 (75-100% healthy),NA,NA,NA,22.24192717,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Snag (Dead) (45-90%) ,14.8,1 (0-25% healthy),NA,NA,NA,19.40472728,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Standing (Live),22.9,4 (75-100% healthy),NA,NA,NA,21.61316717,8: Younger immature
H11P3,11,3,Fd: douglas-fir,Standing (Live),11.5,2 (25-50% healthy),NA,NA,NA,18.55303325,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Standing (Live),14,3 (50-75% healthy),NA,NA,NA,19.195702,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Standing (Live),18.2,4 (75-100% healthy),NA,NA,NA,20.31132028,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Standing (Live),20.4,4 (75-100% healthy),NA,NA,NA,20.91367192,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Standing (Live),9.5,3 (50-75% healthy),NA,NA,NA,18.05039125,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Standing (Live),18.4,4 (75-100% healthy),NA,NA,NA,20.36556872,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Standing (Live),15.3,4 (75-100% healthy),NA,NA,NA,19.53619813,8: Younger immature
H11P3,11,3,Bl: subalpine fir,Standing (Live),26.7,4 (75-100% healthy),NA,NA,NA,22.70697133,8: Younger immature
H10P4,10,4,At: trembling aspen,Standing (Live),23.7,4 (75-100% healthy),NA,NA,NA,21.84037693,1: Older Immature
H10P4,10,4,Ac: poplar,Standing (Live),64.5,4 (75-100% healthy),NA,NA,NA,35.59550125,5: Mature
H10P4,10,4,At: trembling aspen,Standing (Live),37,4 (75-100% healthy),NA,NA,NA,25.857215,2: Older immature - Suspect
H10P4,10,4,Sx: spruce hybrid,Standing (Live),8,3 (50-75% healthy),NA,NA,NA,17.680114,8: Younger immature
H10P4,10,4,At: trembling aspen,Standing (Live),33,4 (75-100% healthy),NA,NA,NA,24.601639,1: Older Immature
H10P4,10,4,Bl: subalpine fir,Standing (Live),19.6,4 (75-100% healthy),NA,NA,NA,20.69320472,8: Younger immature
H10P4,10,4,At: trembling aspen,Standing (Live),10.6,1 (0-25% healthy),NA,NA,NA,18.32558012,6: Live useless
H10P4,10,4,At: trembling aspen,Standing (Live),22.5,3 (50-75% healthy),NA,NA,NA,21.50017525,2: Older immature - Suspect
H10P4,10,4,Bl: subalpine fir,Standing (Live),19.2,4 (75-100% healthy),NA,NA,NA,20.58358408,8: Younger immature
H10P4,10,4,At: trembling aspen,Snag (Dead) (45-90%) ,7.5,1 (0-25% healthy),NA,NA,NA,17.55796525,4: Dead useless
H10P4,10,4,At: trembling aspen,Standing (Live),21.9,1 (0-25% healthy),NA,NA,NA,21.33145357,6: Live useless
H10P4,10,4,At: trembling aspen,Standing (Live),22.7,4 (75-100% healthy),NA,NA,NA,21.55662013,1: Older Immature
H10P4,10,4,At: trembling aspen,Standing (Live),22.8,4 (75-100% healthy),NA,NA,NA,21.58488088,2: Older immature - Suspect
H10P4,10,4,At: trembling aspen,Standing (Live),18.5,4 (75-100% healthy),NA,NA,NA,20.39273125,2: Older immature - Suspect
H10P4,10,4,At: trembling aspen,Standing (Live),19.8,4 (75-100% healthy),NA,NA,NA,20.74816828,1: Older Immature
H9P5,9,5,Other,Down (Dead) (0-45%),40.8,1 (0-25% healthy),NA,NA,NA,27.08786248,4: Dead useless
H9P5,9,5,Other,Down (Dead) (0-45%),27.7,1 (0-25% healthy),NA,NA,NA,23.00094413,4: Dead useless
H9P5,9,5,Bl: subalpine fir,Down (Dead) (0-45%),21.6,1 (0-25% healthy),NA,NA,NA,21.24743752,3: Older Immature. Dead Potential
H9P5,9,5,Sx: spruce hybrid,Down (Dead) (0-45%),57.1,1 (0-25% healthy),NA,NA,NA,32.78507597,7: Mature - Dead potential
H9P5,9,5,Bl: subalpine fir,Snag (Dead) (45-90%) ,28.2,1 (0-25% healthy),NA,NA,NA,23.14888828,7: Mature - Dead potential
H9P5,9,5,Bl: subalpine fir,Standing (Live),16.7,3 (50-75% healthy),NA,NA,NA,19.90771333,1: Older Immature
H9P5,9,5,Bl: subalpine fir,Standing (Live),22.7,4 (75-100% healthy),NA,NA,NA,21.55662013,1: Older Immature
H9P5,9,5,Bl: subalpine fir,Standing (Live),7.5,4 (75-100% healthy),NA,NA,NA,17.55796525,8: Younger immature
H9P5,9,5,Bl: subalpine fir,Standing (Live),32.5,3 (50-75% healthy),NA,NA,NA,24.44756525,2: Older immature - Suspect
H9P5,9,5,Bl: subalpine fir,Standing (Live),8.3,4 (75-100% healthy),NA,NA,NA,17.75370973,8: Younger immature
H9P5,9,5,Bl: subalpine fir,Standing (Live),8.1,3 (50-75% healthy),NA,NA,NA,17.70462037,8: Younger immature
H9P5,9,5,Bl: subalpine fir,Standing (Live),31.2,4 (75-100% healthy),NA,NA,NA,24.04996168,2: Older immature - Suspect
