Hexagon,Plot,Plot.id,Code,Height m,Species,DBH,BH Age yrs,Site Index m,Species Name,Curves Developed For - Species,SI Curve,SI Curve #
15,2,H15P2,H15P2SIT3,20.6,Bl,20,102,11.73,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
15,2,H15P2,H15P2SIT1,23.9,Sx,29.2,62,20.4,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
15,2,H15P2,H15P2SIT2,21.9,Sx,32.7,55,20.36,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
15,2,H15P2,H15P2SIT4,21.3,Bl,22.3,59,18.87,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
15,1,H15P1,H15P1SIT2,25.5,Sx,36.7,64,21.42,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
15,1,H15P1,H15P1SIT3,24.2,Bl,27.5,59,21.64,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
15,1,H15P1,H15P1SIT1,22.2,Bl,26.7,52,21.59,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
15,1,H15P1,H15P1SIT4,23,Sx,29.5,53,22.03,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
11,3,H11P3,H11P3SIT3,21.9,Bl,31.5,73,16.6,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
11,3,H11P3,H11P3SIT2,26.4,Sx,38.2,62,22.76,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
11,3,H11P3,H11P3SIT5,22.4,Bl,25,70,17.59,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
11,3,H11P3,H11P3SIT1,26.9,Sx,35.5,59,24.04,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
8,2,H8P2,H8P2SIT4,25.1,Sx,32.1,50,25.15,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
8,2,H8P2,H8P2SIT3,34.6,Bl,57,99,24.65,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
8,2,H8P2,H8P2SIT2,27.1,Sx,38.2,65,22.68,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
8,2,H8P2,H8P2SIT1,33.1,Bl,43.7,146,19.22,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
8,1,H8P1,H8P1SIT5,22.1,Bl,25.9,76,16.27,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
6,1,H6P1,H6P1SIT3,31.6,Sx,49.5,52,30.86,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
6,1,H6P1,H6P1SIT2,22.9,Bl,30.1,61,19.9,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
5,2,H5P2,H5P2SIT3,21,Bl,28.4,109,11.38,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
5,2,H5P2,H5P2SIT2,34.3,Sx,44.4,160,17.54,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
5,2,H5P2,H5P2SIT1,34.7,Sx,46.2,160,17.94,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
5,1,H5P1,H5P1SIT3,24.8,Sx,27,52,24.12,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
5,1,H5P1,H5P1SIT2,36.3,Bl,41.7,135,23.11,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
5,1,H5P1,H5P1SIT1,27.5,Bl,38.1,112,16.58,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
4,2,H4P2,H4P2SIT4,30.4,Sx,55.1,120,17.19,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
4,2,H4P2,H4P2SIT3,30.3,Sx,46.6,176,12.69,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
4,2,H4P2,H4P2SIT2,23.6,Bl,36.8,116,12.84,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
4,2,H4P2,H4P2SIT1,25.8,Bl,33.9,133,13.33,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
4,1,H4P1,H4P1SIT4,27.2,Bl,47.8,115,16.03,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
4,1,H4P1,H4P1SIT3,33.4,Sx,55,120,19.99,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
4,1,H4P1,H4P1SIT2,32,Sx,45.8,65,27.36,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
4,1,H4P1,H4P1SIT1,36.3,Bl,61.3,132,23.33,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
3,1,H3P1,H3P1SIT2,18.8,Sx,29.8,56,17.11,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
3,1,H3P1,H3P1SIT1,24.6,Sx,29.2,48,25.45,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
2,3,H2P3,H2P3SIT5,19.6,Bl,20.3,52,19.03,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
2,3,H2P3,H2P3SIT4,22.7,Sx,30,30,32.85,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
2,3,H2P3,H2P3SIT3,27.8,Sx,35.8,141,13,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
2,3,H2P3,H2P3SIT2,28.2,Fd,48.8,106,18.02,Douglas-fir,Interior Douglas-fir,Thrower and Goudie (1992ac),96
2,3,H2P3,H2P3SIT1,35.4,Fd,67.9,183,18.17,Douglas-fir,Interior Douglas-fir,Thrower and Goudie (1992ac),96
2,2,H2P2,H2P2SIT4,24.3,Sx,29.2,48,25.15,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
2,2,H2P2,H2P2SIT3,23.4,Sx,27.8,51,23.06,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
2,2,H2P2,H2P2SIT2,20.7,Bl,22.8,84,13.88,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
2,2,H2P2,H2P2SIT1,25.7,Bl,31.6,110,15.17,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
10,4,H10P4,H10P4SIT1,28.2,At,41.1,58,26.24,Trembling aspen,Trembling aspen,"Nigh, Krestov, and Klinka 2002",92
10,4,H10P4,H10P4SIT2,27,At,34.7,55,25.75,Trembling aspen,Trembling aspen,"Nigh, Krestov, and Klinka 2002",92
10,4,H10P4,H10P4SIT4,29.2,Sx,40.3,140,14.29,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
10,4,H10P4,H10P4SIT3,25.8,Sx,32.5,52,25.12,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
10,6,H10P6,H10P6SIT3,24.3,Bl,31.6,128,12.43,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
10,6,H10P6,H10P6SIT2,28,Sx,33.4,100,17.34,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
10,6,H10P6,H10P6SIT1,26.6,Sx,36.9,120,13.87,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
10,6,H10P6,H10P6SIT4,24.7,Bl,30.8,147,11.46,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
9,5,H9P5,H9P5SIT4,28.8,Sx,43.1,136,14.27,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
9,5,H9P5,H9P5SIT3,25.7,Sx,30.3,67,20.89,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
9,5,H9P5,H9P5SIT2,24.3,Bl,30.4,138,11.72,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
9,5,H9P5,H9P5SIT1,26.9,Bl,36.6,141,13.71,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
6,2,H6P2,H6P2SIT4,25.5,Bl,43.7,207,9.16,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
6,2,H6P2,H6P2SIT3,26.6,Sx,37.4,59,23.76,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
6,2,H6P2,H6P2SIT2,30.8,Sx,50.6,68,25.48,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
6,2,H6P2,H6P2SIT1,26.9,Bl,42,69,21.96,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
19,2,H19P2,H19P2SIT3,24.5,Sx,30.8,56,22.59,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
19,2,H19P2,H19P2SIT4,24.1,Sx,30.7,49,24.54,Spruce hybrid,White spruce,Goudie (1984ac) (natural),106
19,2,H19P2,H19P2SIT2,23.3,Bl,30.2,96,14.59,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
19,2,H19P2,H19P2SIT1,24.2,Bl,33.7,138,11.64,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
19,4,H19P4,H19P4SIT4,22.9,Bl,33,63,19.46,Subalpine fir,Subalpine fir,Chen and Klinka (2000ac),93
